"row ID","Humidity Fraction","Precipitation One Hour (mm)","Pressure Altimeter (mbar)","Wind Speed (m/s)","Temperature (C)"
"Row14097",0.8066,0.0,1016.3,4.6,15.0
"Row9527",0.8309,0.0,1024.0,,8.3
"Row10677",0.6581,0.0,1017.6,10.3,10.0
"Row1148",0.8384,0.0,1012.5,7.2,14.4
"Row13114",0.6262,,,,17.2
"Row2138",0.8579,0.0,1018.6,2.1,11.7
"Row6330",0.6989,0.0,,9.3,16.1
"Row8742",1.0,0.0,1021.7,0.0,8.9
"Row6748",0.8057,0.0,1011.5,1.5,14.4
"Row8189",0.8384,0.0,1014.9,,14.4
"Row3420",0.5628,0.0,,7.7,18.9
"Row923",0.9303,0.0,998.6,5.7,12.8
"Row10297",0.8918,0.0,1013.9,2.1,10.0
"Row567",0.5497,0.0,1023.0,4.6,13.9
"Row17090",0.9663,0.0,1021.0,2.1,7.2
"Row10364",0.9228,0.0,1019.0,,10.6
"Row13420",,0.0,1011.5,3.1,11.1
"Row8881",0.7399,0.0,1026.4,4.1,9.4
"Row6553",0.8384,0.0,1019.3,5.7,14.4
"Row10975",,0.0,1019.0,5.7,11.1
"Row14325",0.8336,,1012.5,7.7,15.0
"Row663",0.643,0.0,1020.3,2.1,13.3
"Row17460",0.5184,0.0,1018.3,3.6,9.4
"Row12864",0.8309,0.0,,3.6,12.8
"Row15029",0.9303,0.0,1014.2,5.2,12.8
"Row16981",0.6308,0.0,,2.1,10.0
"Row14371",0.7517,0.0,1012.9,9.8,16.1
"Row546",0.6828,0.0,1024.7,4.1,10.6
"Row12015",,0.0,1014.9,8.2,17.2
"Row2629",0.2834,0.0,1018.0,6.7,20.0
"Row15308",0.8664,0.0,,7.7,14.4
"Row17465",0.4948,0.0,1016.3,2.1,8.9
"Row1222",0.7714,0.0,1016.7917365478716,3.6,9.4
"Row15521",0.4959,0.0,1012.9,7.2,22.8
"Row10795",0.8927,0.0,1018.6,7.2,11.1
"Row17075",0.9281,0.0,1020.3,4.1,8.9
"Row12170",,0.0,1015.9,2.6,11.1
"Row641",,0.0,1016.9,4.1,12.2
"Row7391",,0.0,1017.6,2.6,12.2
"Row612",0.5104,0.0,1018.6,2.6,14.4
"Row11121",0.8301,0.0,1017.3,9.3,12.2
"Row10685",,0.0,1015.9,6.2,8.3
"Row14915",0.6976,0.0,1020.7,3.1,17.8
"Row16910",0.4896,0.0,1021.3,3.1,13.3
"Row9505",0.888,0.0,1026.8,3.1,5.6
"Row10964",0.8932,0.0,1019.0,5.2,11.7
"Row6291",0.8042,0.0,1010.5,2.1,13.3
"Row4600",0.55,0.0,1013.9,,21.1
"Row15599",0.7981,0.0,1011.9,8.2,12.8
"Row16724",0.797,0.0,,2.6,8.3
"Row14544",0.8336,0.0,1014.2,5.2,15.0
"Row8173",0.6455,0.0,,4.6,14.4
"Row15064",0.6566,0.0,,10.8,19.4
"Row13634",0.7752,0.0,1016.3,3.6,15.0
"Row2782",0.7707,,1019.6,6.2,12.2
"Row4538",0.8322,0.0,1009.8,3.1,13.9
"Row2250",0.5731,0.0,1018.3,6.2,13.9
"Row10400",0.9611,0.0,1021.3,0.0,11.7
"Row13662",,0.0,1018.3,4.6,16.1
"Row7502",,,1021.3,,17.2
"Row5078",0.2034,0.0,1017.3,2.1,35.6
"Row15097",0.862,0.0,1014.9,2.1,15.6
"Row6597",0.8941,0.0,1016.6,6.2,12.8
"Row10902",0.9275,0.0,1023.7,2.1,7.8
"Row7312",0.4082,0.0,1016.9,6.7,21.7
"Row14249",0.4377,0.0,1012.2,6.2,26.1
"Row1321",0.7643,0.0,1017.6,,8.3
"Row8581",0.5834,0.0,1031.2,2.1,10.0
"Row12048",0.8631,0.0,1013.5,,11.1
"Row8412",0.7907,0.0,1020.3,2.1,7.8
"Row11456",0.8026,0.0,1009.8,7.7,12.2
"Row12080",0.7981,0.0,,4.6,12.8
"Row2284",0.8295,0.0,1017.3,2.1,11.7
"Row11682",0.9004,0.0,1018.6,9.3,13.3
"Row17360",0.8875,0.0,1019.3,,5.0
"Row7651",0.7707,0.0,1019.3,,12.2
"Row7422",0.5731,0.0,1017.6,1.5,13.9
"Row9822",1.0,0.0,1022.4,0.0,3.9
"Row9954",0.9663,0.3,1006.8,9.8,7.2
"Row6672",0.8066,0.0,,4.1,15.0
"Row1716",0.7265,0.0,1016.3,6.2,18.3
"Row11582",0.5843,0.0,1018.0,8.8,18.3
"Row3569",0.6082,0.0,,9.3,20.0
"Row179",0.8974,0.0,1008.5,3.1,9.4
"Row15576",0.7707,0.0,1015.2,6.2,12.2
"Row17079",0.8918,,1019.3,2.6,10.0
"Row628",0.9281,0.0,1016.3,4.1,8.9
"Row4622",0.461,0.0,1012.5,9.3,22.8
"Row11032",0.6897,0.0,1018.6,,13.9
"Row8724",0.7734,,,4.6,13.9
"Row7806",0.9293,0.0,1016.3,,11.1
"Row14760",,0.0,1015.9,3.1,15.0
"Row5657",0.4145,0.0,1009.5,10.3,23.9
"Row8490",0.7624,0.0,1021.7,3.1,7.2
"Row10706",0.8566,0.0,1016.9,2.1,5.0
"Row449",0.739,0.0,1021.3,3.6,11.7
"Row6877",0.6351,0.0,,5.2,21.1
"Row1336",,0.0,1015.9,4.6,9.4
"Row9927",0.606,0.0,1010.8,6.2,10.6
"Row3356",0.7245,,1014.6,4.6,17.2
"Row5849",0.5125,0.0,1013.2,10.8,22.8
"Row16834",0.8371,0.0,1012.9,,13.3
"Row16365",0.7643,0.0,1024.7,3.1,8.3
"Row575",0.7979,0.0,1023.4,1.5,8.9
"Row8006",0.5736,0.0,1023.7,2.1,15.6
"Row3155",0.4772,0.0,1013.2,5.2,16.1
"Row1831",0.9305,0.0,1021.3,3.1,13.3
"Row1665",0.805,0.0,1022.0,1.5,13.9
"Row9270",0.9606,0.0,1020.0,,10.0
"Row1832",0.8664,0.0,1022.0,4.1,14.4
"Row5344",0.6998,0.0,1018.3,,18.9
"Row175",0.9663,0.0,1005.8,2.1,7.2
"Row3655",0.7752,,1016.3,5.7,15.0
"Row4969",0.9012,0.0,,5.2,14.4
"Row9020",0.7979,0.0,1025.7,0.0,8.9
"Row2938",0.8021,0.0,1013.5,4.6,15.6
"Row2237",0.9305,0.3,1018.0,3.1,13.3
"Row562",0.606,0.0,1016.7917365478716,3.1,10.6
"Row7617",0.3536,0.0,1020.7,,13.3
"Row842",0.8301,1.0,1012.5,4.6,12.2
"Row17213",1.0,0.0,1024.7,3.1,6.7
"Row13054",0.8996,0.0,1016.6,8.2,12.2
"Row12443",0.6954,0.0,1016.9,8.8,14.4
"Row15358",0.9012,0.0,1008.1,5.2,14.4
"Row8473",0.7954,0.0,,0.0,7.2
"Row4871",0.8963,0.0,1015.2,9.3,15.6
"Row3274",0.6262,0.0,1015.6,3.6,17.2
"Row14087",0.9012,0.0,1016.6,7.2,14.4
"Row5756",0.7256,0.0,1009.5,,17.8
"Row15220",0.9309,0.0,1014.2,4.1,13.9
"Row16844",0.8653,0.0,1011.5,7.7,13.3
"Row6312",0.8642,0.0,1013.2,,12.2
"Row7637",0.3521,0.0,1019.0,4.6,12.8
"Row9237",0.8568,0.0,1022.4,2.6,10.6
"Row15353",0.7265,0.0,1008.8,10.3,18.3
"Row4681",0.8371,0.0,1016.3,,13.3
"Row11921",0.6208,0.0,1014.9,17.0,16.7
"Row7815",0.6196,0.0,1018.3,5.2,14.4
"Row7862",0.1891,0.0,1023.0,1.5,13.9
"Row10598",0.6659,0.0,1012.2,6.2,15.6
"Row9117",0.9293,0.0,1016.7917365478716,4.1,11.1
"Row11020",0.8974,0.0,1017.3,2.6,9.4
"Row8798",0.7183,0.0,1026.4,,13.9
"Row11402",0.8932,0.0,1018.3,4.6,11.7
"Row4345",0.7734,0.0,1009.8,5.2,13.9
"Row1599",0.675,0.0,1017.3,9.3,17.8
"Row5646",0.8648,0.0,1010.8,2.6,12.8
"Row4585",0.8322,0.0,1014.2,3.6,13.9
"Row5045",0.8996,0.0,1017.6,2.6,12.2
"Row6042",0.7778,0.0,,,16.7
"Row8544",0.7631,0.0,1026.1,,4.4
"Row11287",,0.0,1017.6,3.6,12.8
"Row8733",,0.0,1022.0,2.6,12.8
"Row17272",0.8011,0.0,1018.6,3.1,11.1
"Row10353",0.9228,0.0,1020.0,1.5,10.6
"Row11356",0.8932,0.0,1020.0,7.2,11.7
"Row905",0.9305,0.3,998.6,4.6,13.3
"Row9611",0.737,,1020.3,2.6,10.6
"Row2652",0.6029,0.0,1022.4,7.2,17.8
"Row15969",,0.0,1020.7,5.2,15.0
"Row16684",0.8245,0.0,1027.8,3.1,7.8
"Row2486",0.7459,0.0,1017.6,5.7,15.6
"Row17490",0.7399,0.0,1018.3,2.6,9.4
"Row16147",0.518,0.0,1017.3,6.2,10.6
"Row17333",1.0,2.0,,6.2,9.4
"Row7696",0.621,0.0,1019.0,2.1,15.0
"Row4634",0.8042,0.0,1011.9,3.6,13.3
"Row11621",0.9293,0.0,1021.3,5.7,11.1
"Row6413",0.862,0.0,1015.2,2.6,10.0
"Row14333",0.8322,,1011.9,,13.9
"Row12597",,0.0,1011.2,4.6,23.3
"Row9143",0.5241,0.0,,,12.8
"Row4078",0.8653,0.0,1011.9,9.3,13.3
"Row16332",0.7172,0.0,1013.2,8.8,13.3
"Row2691",0.7965,0.0,1018.0,6.7,11.7
"Row8192",,0.3,1015.6,7.2,15.0
"Row16636",0.9228,1.0,1015.2,7.7,10.6
"Row12380",0.7734,0.0,1019.0,7.7,13.9
"Row2035",0.7141,,1011.9,10.3,11.7
"Row12306",0.5555,0.0,1016.3,,16.1
"Row2899",0.5791,,1013.9,8.2,17.8
"Row9242",0.9284,0.0,1022.7,1.5,9.4
"Row11215",0.9606,0.0,1017.6,6.2,10.0
"Row12267",0.8288,0.0,1013.5,6.2,11.1
"Row6737",0.3265,0.0,1016.7917365478716,6.7,22.2
"Row16576",0.3401,0.0,1026.4,0.0,13.9
"Row9170",0.7689,0.0,1021.0,2.1,11.1
"Row12601",0.6784,0.0,,,19.4
"Row14629",0.675,0.0,1016.6,8.2,17.8
"Row17348",0.7714,0.0,1017.3,,9.4
"Row440",0.8614,0.0,1020.3,2.1,9.4
"Row14946",0.3135,0.0,1012.5,8.2,26.1
"Row417",0.9284,0.0,1008.5,5.7,9.4
"Row8779",0.9673,0.0,1027.4,4.1,11.1
"Row8380",0.9595,0.0,,0.0,6.7
"Row14928",0.9676,0.0,1017.6,4.1,12.2
"Row12086",0.6438,0.0,1020.3,4.6,15.6
"Row10057",0.9602,0.0,1016.7917365478716,2.1,8.9
"Row12541",0.4349,0.0,1019.0,8.2,20.0
"Row8404",0.8525,0.0,1019.6,,6.7
"Row11290",0.7794,0.0,,5.2,14.4
"Row17440",0.6605,0.0,1020.3,5.7,11.1
"Row1371",,0.0,,3.1,8.9
"Row1980",0.5338,0.0,1018.3,3.6,15.0
"Row12191",0.8642,0.0,1016.6,7.7,12.2
"Row2348",0.8958,0.0,,5.2,15.0
"Row11708",0.9299,0.0,,6.2,12.2
"Row10426",0.7183,0.0,1022.7,3.1,13.9
"Row15781",0.692,0.0,1020.3,2.6,15.0
"Row16155",1.0,,1013.9,7.2,11.1
"Row7398",0.8918,0.0,1018.0,2.1,10.0
"Row3539",0.4865,,1015.9,6.2,19.4
"Row11963",0.692,,1013.5,6.2,15.0
"Row9013",0.6909,0.0,1026.4,1.5,12.2
"Row1552",0.461,0.0,1016.7917365478716,0.0,22.8
"Row3141",0.743,0.0,1012.2,6.7,11.1
"Row4019",0.2415,,1010.5,2.6,30.6
"Row9960",0.8899,0.5,,,7.8
"Row16492",0.7631,0.0,1025.7,2.1,4.4
"Row6455",0.7204,0.0,1018.0,3.6,15.0
"Row13441",0.8642,0.0,1011.5,3.6,12.2
"Row1213",0.5663,,1011.5,9.3,12.8
"Row9111",0.6659,,1019.3,3.6,15.6
"Row12445",0.5377,0.0,1017.3,7.2,17.8
"Row5081",0.2739,0.0,1015.9,9.8,31.7
"Row578",0.8597,0.0,1023.4,,7.8
"Row2220",0.6488,0.0,1020.0,4.1,17.8
"Row3342",,0.0,1016.7917365478716,3.1,16.7
"Row12694",,0.0,1013.5,13.4,13.3
"Row7742",0.2037,0.0,1025.1,0.0,19.4
"Row98",0.9246,0.0,1015.9,0.0,2.8
"Row1350",0.7634,0.0,1013.9,,7.8
"Row16448",0.7965,0.0,1019.0,,11.7
"Row10699",,0.0,1018.3,7.2,8.9
"Row1931",0.6714,,1017.3,3.1,16.1
"Row6588",0.8066,0.0,1017.6,7.2,15.0
"Row6213",0.8021,0.0,1015.9,9.3,15.6
"Row712",0.3081,0.0,1017.6,3.6,16.7
"Row16057",0.8371,0.0,1018.3,5.7,13.3
"Row12930",0.5197,0.0,1018.0,10.3,17.8
"Row8586",0.6851,,1028.8,2.6,9.4
"Row3044",0.8371,,1019.0,,13.3
"Row17127",0.7129,0.0,,2.6,11.1
"Row13106",0.8579,0.0,1014.6,5.7,11.7
"Row9792",0.7276,0.0,1028.4,1.5,5.6
"Row6196",0.8648,0.0,1014.2,2.1,12.8
"Row16716",,0.0,1027.8,1.5,10.0
"Row1162",0.8941,1.8,,9.8,12.8
"Row15654",0.7689,0.0,1008.1,3.6,11.1
"Row14426",0.9303,0.0,1016.6,5.2,12.8
"Row12627",,0.0,1012.5,5.2,12.8
"Row11351",0.8648,,1019.6,7.2,12.8
"Row9459",0.9269,0.0,1026.8,,6.7
"Row5065",0.6312,0.0,1018.0,2.6,19.4
"Row14685",0.7769,0.0,,8.2,16.1
