"row ID","Humidity Fraction","Precipitation One Hour (mm)","Pressure Altimeter (mbar)","Temperature (C)","Wind Speed (m/s)","Date and time"
"Row0",0.8371,0.3,1013.5,13.3,6.7,"1993-01-01T00:00:00"
"Row1",0.8941,0.0621152418479811,1012.9,12.8,11.3,"1993-01-01T01:00:00"
"Row2",0.8941,5.3,1011.9,12.8,9.3,"1993-01-01T02:00:00"
"Row3",0.9004,3.8,1011.2,13.3,10.3,"1993-01-01T03:00:00"
"Row4",0.9004,5.6,1010.5,13.3,10.8,"1993-01-01T04:00:00"
"Row5",0.9284,10.7,1012.2,9.4,6.2,"1993-01-01T05:00:00"
"Row6",0.9284,3.3,1012.9,9.4,5.2,"1993-01-01T06:00:00"
"Row7",0.9281,0.5,1013.5,8.9,5.2,"1993-01-01T07:00:00"
"Row8",0.9281,1.3,1014.2,8.9,3.6,"1993-01-01T08:00:00"
"Row9",0.9281,1.3,1014.9,8.9,4.6,"1993-01-01T09:00:00"
"Row10",0.8909,0.3,1015.9,8.9,4.1,"1993-01-01T10:00:00"
"Row11",0.7714,0.0,1015.6,9.4,3.6,"1993-01-01T11:00:00"
"Row12",0.741,0.0,1015.2,10.0,3.6,"1993-01-01T12:00:00"
"Row13",0.7119,0.0,1014.9,10.6,4.1,"1993-01-01T13:00:00"
"Row14",0.6887,0.0,1014.6,11.1,6.2,"1993-01-01T14:00:00"
"Row15",0.6116,0.0,1014.6,11.1,8.2,"1993-01-01T15:00:00"
"Row16",0.6581,0.0,1014.9,10.0,8.8,"1993-01-01T16:00:00"
"Row17",0.6567,0.0,1015.2,9.4,6.2,"1993-01-01T17:00:00"
"Row18",0.6792,0.0,1015.6,8.9,5.7,"1993-01-01T18:00:00"
"Row19",0.7073,0.0,1015.6,8.3,5.2,"1993-01-01T19:00:00"
"Row20",0.7634,0.0,1015.9,7.8,4.6,"1993-01-01T20:00:00"
"Row21",0.789,0.0,1016.3,6.7,4.1,"1993-01-01T21:00:00"
"Row22",0.8223,0.0,1016.6,6.1,5.2,"1993-01-01T22:00:00"
"Row23",0.7297,0.0,1016.9,6.7,4.6,"1993-01-01T23:00:00"
"Row24",0.7873,0.0,1017.3,5.6,5.7,"1993-01-02T00:00:00"
"Row25",0.7873,0.0,1017.3,5.6,3.1,"1993-01-02T01:00:00"
"Row26",0.7937,0.0,1017.6,6.1,5.2,"1993-01-02T02:00:00"
"Row27",0.792,0.0,1018.0,5.0,2.6,"1993-01-02T03:00:00"
"Row28",0.7911,0.0,1016.7917365478716,4.4,2.6,"1993-01-02T04:00:00"
"Row29",0.856,0.0,1018.0,4.4,2.1,"1993-01-02T05:00:00"
"Row30",0.9249,0.0,1018.6,3.3,2.1,"1993-01-02T06:00:00"
"Row31",0.9246,0.0,1019.3,2.8,3.1,"1993-01-02T07:00:00"
"Row32",0.9242,0.0,1020.0,2.2,2.1,"1993-01-02T08:00:00"
"Row33",0.9259,0.0,1020.3,5.0,2.6,"1993-01-02T09:00:00"
"Row34",0.7624,0.0,1021.0,7.2,2.1,"1993-01-02T10:00:00"
"Row35",0.6768,0.0,1021.3,7.8,3.1,"1993-01-02T11:00:00"
"Row36",0.6542,0.0,1020.7,8.3,4.6,"1993-01-02T12:00:00"
"Row37",0.6556,0.0,1020.3,8.9,4.1,"1993-01-02T13:00:00"
"Row38",0.5184,0.0,1020.0,9.4,3.1,"1993-01-02T14:00:00"
"Row39",0.5613,0.0,1020.3,9.4,4.1,"1993-01-02T15:00:00"
"Row40",0.5345,0.0,1020.3,8.3,5.2,"1993-01-02T16:00:00"
"Row41",0.6034,0.0,1020.7,7.8,4.1,"1993-01-02T17:00:00"
"Row42",0.678,0.0,1021.0,6.1,4.1,"1993-01-02T18:00:00"
"Row43",0.7018,0.0,1021.3,5.6,3.6,"1993-01-02T19:00:00"
"Row44",0.672,0.0,1021.3,5.6,2.6,"1993-01-02T20:00:00"
"Row45",0.7586,0.0,1021.7,5.0,1.5,"1993-01-02T21:00:00"
"Row46",0.7911,0.0,1022.0,4.4,2.6,"1993-01-02T22:00:00"
"Row47",0.8194,0.0,1022.4,3.9,0.0,"1993-01-02T23:00:00"
"Row48",0.8542,0.0,1022.7,2.8,2.6,"1993-01-03T00:00:00"
"Row49",0.8915,0.0,1022.4,2.2,3.6,"1993-01-03T01:00:00"
"Row50",0.8554,0.0,1022.4,3.9,2.6,"1993-01-03T02:00:00"
"Row51",0.9242,0.0,1022.7,2.2,2.6,"1993-01-03T03:00:00"
"Row52",0.8856,0.0,1016.7917365478716,2.8,2.1,"1993-01-03T04:00:00"
"Row53",0.9246,0.0,1022.4,2.8,2.1,"1993-01-03T05:00:00"
"Row54",0.9649,0.0,1023.0,2.2,2.1,"1993-01-03T06:00:00"
"Row55",0.9649,0.0,1023.7,2.2,2.1,"1993-01-03T07:00:00"
"Row56",0.8535,0.0,1024.0,2.2,2.6,"1993-01-03T08:00:00"
"Row57",0.6682,0.0,1024.7,3.9,4.6,"1993-01-03T09:00:00"
"Row58",0.5283,0.0,1025.7,6.1,3.6,"1993-01-03T10:00:00"
"Row59",0.4345,0.0,1025.4,7.2,4.1,"1993-01-03T11:00:00"
"Row60",0.4031,0.0,1025.1,8.3,3.1,"1993-01-03T12:00:00"
"Row61",0.3681,0.0,1024.0,8.3,2.6,"1993-01-03T13:00:00"
"Row62",0.3577,0.0,1024.0,9.4,2.6,"1993-01-03T14:00:00"
"Row63",0.3577,0.0,1023.0,9.4,2.1,"1993-01-03T15:00:00"
"Row64",0.3743,0.0,1016.7917365478716,9.4,2.1,"1993-01-03T16:00:00"
"Row65",0.4031,0.0,1022.7,8.3,0.0,"1993-01-03T17:00:00"
"Row66",0.4331,0.0,1022.7,7.8,0.0,"1993-01-03T18:00:00"
"Row67",0.672,0.0,1022.7,5.6,2.1,"1993-01-03T19:00:00"
"Row68",0.6491,0.0,1022.7,6.1,0.0,"1993-01-03T20:00:00"
"Row69",0.7631,0.0,1023.7,4.4,2.6,"1993-01-03T21:00:00"
"Row70",0.7631,0.0,1016.7917365478716,4.4,1.5,"1993-01-03T22:00:00"
"Row71",0.7894,0.0,1023.4,3.3,2.1,"1993-01-03T23:00:00"
"Row72",0.8535,0.0,1023.0,2.2,2.1,"1993-01-04T00:00:00"
"Row73",0.8535,0.0,1022.7,2.2,2.1,"1993-01-04T01:00:00"
"Row74",0.8468,0.0,1022.4,1.7,2.1,"1993-01-04T02:00:00"
"Row75",0.8155,0.0,1022.4,1.1,2.1,"1993-01-04T03:00:00"
"Row76",0.8523,0.0,1016.7917365478716,1.1,2.6,"1993-01-04T04:00:00"
"Row77",0.884,0.0,1021.3,1.1,3.1,"1993-01-04T05:00:00"
"Row78",0.8523,0.0,1021.3,1.1,0.0,"1993-01-04T06:00:00"
"Row79",0.8454,0.0,1021.7,0.6,3.6,"1993-01-04T07:00:00"
"Row80",0.7811,0.0,1021.3,1.7,4.1,"1993-01-04T08:00:00"
"Row81",0.7547,0.0,1021.3,2.8,3.6,"1993-01-04T09:00:00"
"Row82",0.6186,0.0,1021.7,5.0,3.1,"1993-01-04T10:00:00"
"Row83",0.6214,0.0,1021.3,6.1,3.1,"1993-01-04T11:00:00"
"Row84",0.6018,0.0,1020.0,7.2,2.6,"1993-01-04T12:00:00"
"Row85",0.6034,0.0,1019.3,7.8,2.6,"1993-01-04T13:00:00"
"Row86",0.5414,0.0,1018.3,9.4,2.6,"1993-01-04T14:00:00"
"Row87",0.5806,0.0,1018.0,8.9,2.1,"1993-01-04T15:00:00"
"Row88",0.4767,0.0,1017.3,10.0,0.0,"1993-01-04T16:00:00"
"Row89",0.4734,0.0,1016.9,8.9,0.0,"1993-01-04T17:00:00"
"Row90",0.6542,0.0,1016.9,8.3,2.1,"1993-01-04T18:00:00"
"Row91",0.7616,0.0,1016.9,6.7,2.1,"1993-01-04T19:00:00"
"Row92",0.7937,0.0,1016.9,6.1,2.6,"1993-01-04T20:00:00"
"Row93",0.7873,0.0,1016.9,5.6,2.1,"1993-01-04T21:00:00"
"Row94",0.8208,0.0,1016.9,5.0,2.1,"1993-01-04T22:00:00"
"Row95",0.856,0.0,1016.9,4.4,2.6,"1993-01-04T23:00:00"
"Row96",0.856,0.0,1016.6,4.4,2.1,"1993-01-05T00:00:00"
"Row97",0.8866,0.0,1015.9,3.9,2.1,"1993-01-05T01:00:00"
"Row98",0.9246,0.0,1015.9,2.8,0.0,"1993-01-05T02:00:00"
"Row99",0.8548,0.0,1015.9,3.3,2.6,"1993-01-05T03:00:00"
"Row100",0.9246,0.0,1016.7917365478716,2.8,2.1,"1993-01-05T04:00:00"
"Row101",0.9246,0.0,1014.9,2.8,2.1,"1993-01-05T05:00:00"
"Row102",0.8856,0.0,1014.6,2.8,2.6,"1993-01-05T06:00:00"
"Row103",0.8856,0.0,1014.2,2.8,2.6,"1993-01-05T07:00:00"
"Row104",0.7894,0.0,1014.6,3.3,2.1,"1993-01-05T08:00:00"
"Row105",0.7911,0.0,1014.9,4.4,2.1,"1993-01-05T09:00:00"
"Row106",0.7597,0.0,1016.7917365478716,5.6,2.1,"1993-01-05T10:00:00"
"Row107",0.7029,0.0,1014.9,6.1,3.1,"1993-01-05T11:00:00"
"Row108",0.6491,0.0,1014.2,6.1,2.1,"1993-01-05T12:00:00"
"Row109",0.7359,0.0,1013.5,7.2,3.1,"1993-01-05T13:00:00"
"Row110",0.7359,0.0,1012.9,7.2,4.1,"1993-01-05T14:00:00"
"Row111",0.7616,0.0,1012.9,6.7,4.6,"1993-01-05T15:00:00"
"Row112",0.8223,0.5,1013.2,6.1,4.1,"1993-01-05T16:00:00"
"Row113",0.8513,0.5,1013.2,5.6,4.6,"1993-01-05T17:00:00"
"Row114",0.8513,0.3,1013.2,5.6,4.6,"1993-01-05T18:00:00"
"Row115",0.8566,0.5,1013.2,5.0,4.6,"1993-01-05T19:00:00"
"Row116",0.8875,0.5,1013.2,5.0,5.2,"1993-01-05T20:00:00"
"Row117",0.8566,0.0,1012.9,5.0,7.2,"1993-01-05T21:00:00"
"Row118",0.8216,0.0,1012.2,5.6,7.2,"1993-01-05T22:00:00"
"Row119",0.8513,0.0,1011.9,5.6,4.1,"1993-01-05T23:00:00"
"Row120",0.8875,0.3,1011.5,5.0,2.6,"1993-01-06T00:00:00"
"Row121",0.7873,0.3,1010.8,5.6,5.2,"1993-01-06T01:00:00"
"Row122",0.8875,0.8,1010.2,5.0,3.1,"1993-01-06T02:00:00"
"Row123",0.8875,0.5,1009.8,5.0,3.1,"1993-01-06T03:00:00"
"Row124",0.9259,0.5,1009.1,5.0,2.1,"1993-01-06T04:00:00"
