"row ID","Temperature (C)"
"Row0",13.3
"Row1",12.8
"Row2",12.8
"Row3",13.3
"Row4",13.3
"Row5",9.4
"Row6",9.4
"Row7",8.9
"Row8",8.9
"Row9",8.9
"Row10",8.9
"Row11",9.4
"Row12",10.0
"Row13",10.6
"Row14",11.1
"Row15",11.1
"Row16",10.0
"Row17",9.4
"Row18",8.9
"Row19",8.3
"Row20",7.8
"Row21",6.7
"Row22",6.1
"Row23",6.7
"Row24",5.6
"Row25",5.6
"Row26",6.1
"Row27",5.0
"Row28",4.4
"Row29",4.4
"Row30",3.3
"Row31",2.8
"Row32",2.2
"Row33",5.0
"Row34",7.2
"Row35",7.8
"Row36",8.3
"Row37",8.9
"Row38",9.4
"Row39",9.4
"Row40",8.3
"Row41",7.8
"Row42",6.1
"Row43",5.6
"Row44",5.6
"Row45",5.0
"Row46",4.4
"Row47",3.9
"Row48",2.8
"Row49",2.2
"Row50",3.9
"Row51",2.2
"Row52",2.8
"Row53",2.8
"Row54",2.2
"Row55",2.2
"Row56",2.2
"Row57",3.9
"Row58",6.1
"Row59",7.2
"Row60",8.3
"Row61",8.3
"Row62",9.4
"Row63",9.4
"Row64",9.4
"Row65",8.3
"Row66",7.8
"Row67",5.6
"Row68",6.1
"Row69",4.4
"Row70",4.4
"Row71",3.3
"Row72",2.2
"Row73",2.2
"Row74",1.7
"Row75",1.1
"Row76",1.1
"Row77",1.1
"Row78",1.1
"Row79",0.6
"Row80",1.7
"Row81",2.8
"Row82",5.0
"Row83",6.1
"Row84",7.2
"Row85",7.8
"Row86",9.4
"Row87",8.9
"Row88",10.0
"Row89",8.9
"Row90",8.3
"Row91",6.7
"Row92",6.1
"Row93",5.6
"Row94",5.0
"Row95",4.4
"Row96",4.4
"Row97",3.9
"Row98",2.8
"Row99",3.3
"Row100",2.8
"Row101",2.8
"Row102",2.8
"Row103",2.8
"Row104",3.3
"Row105",4.4
"Row106",5.6
"Row107",6.1
"Row108",6.1
"Row109",7.2
"Row110",7.2
"Row111",6.7
"Row112",6.1
"Row113",5.6
"Row114",5.6
"Row115",5.0
"Row116",5.0
"Row117",5.0
"Row118",5.6
"Row119",5.6
"Row120",5.0
"Row121",5.6
"Row122",5.0
"Row123",5.0
"Row124",5.0
"Row125",5.6
"Row126",5.6
"Row127",5.0
"Row128",5.6
"Row129",5.6
"Row130",5.6
"Row131",6.1
"Row132",6.7
"Row133",6.7
"Row134",7.2
"Row135",7.2
"Row136",7.2
"Row137",7.2
"Row138",7.8
"Row139",7.8
"Row140",7.8
"Row141",8.3
"Row142",8.3
"Row143",8.9
"Row144",10.6
"Row145",13.3
"Row146",12.2
"Row147",11.7
"Row148",11.1
"Row149",11.1
"Row150",11.1
"Row151",11.7
"Row152",11.1
"Row153",11.1
"Row154",12.2
"Row155",12.2
"Row156",10.0
"Row157",10.0
"Row158",9.4
"Row159",10.0
"Row160",10.0
"Row161",10.0
"Row162",8.9
"Row163",9.4
"Row164",9.4
"Row165",9.4
"Row166",10.0
"Row167",9.4
"Row168",8.9
"Row169",8.3
"Row170",8.3
"Row171",7.8
"Row172",8.3
"Row173",7.8
"Row174",7.8
"Row175",7.2
"Row176",7.8
"Row177",8.9
"Row178",9.4
"Row179",9.4
"Row180",10.0
"Row181",10.6
"Row182",12.2
"Row183",11.7
"Row184",10.0
"Row185",8.9
"Row186",9.4
"Row187",9.4
"Row188",8.9
"Row189",7.8
"Row190",7.8
"Row191",7.8
"Row192",7.2
"Row193",6.7
"Row194",6.1
"Row195",5.0
"Row196",5.0
"Row197",6.7
"Row198",5.6
"Row199",5.0
"Row200",5.6
"Row201",6.7
"Row202",8.3
"Row203",8.9
"Row204",10.0
"Row205",10.0
"Row206",10.0
"Row207",10.6
"Row208",10.0
"Row209",10.0
"Row210",9.4
"Row211",8.3
"Row212",7.8
"Row213",8.3
"Row214",7.8
"Row215",7.8
"Row216",7.8
"Row217",7.2
"Row218",7.2
"Row219",7.2
"Row220",6.1
"Row221",5.0
"Row222",4.4
"Row223",3.9
"Row224",3.3
"Row225",6.1
"Row226",8.3
"Row227",9.4
"Row228",9.4
"Row229",8.9
"Row230",10.6
"Row231",7.8
"Row232",6.7
"Row233",7.2
"Row234",6.1
"Row235",6.1
